Release date,Title,Author,Price,Total sales (current month),Publisher
2021/04/02,The Boss’s Shotgun Wedding [VertiComix](1),[author]shibuciyuan : Kuaikan Comics [story]Flower,0.0,15,[publisher]KUAIKAN
2021/04/02,The Boss’s Shotgun Wedding [VertiComix](1),[author]shibuciyuan : Kuaikan Comics [story]Flower,0.6,1,[publisher]KUAIKAN
2021/04/02,The Boss’s Shotgun Wedding [VertiComix](2),[author]shibuciyuan : Kuaikan Comics [story]Flower,0.0,6,[publisher]KUAIKAN
2021/04/02,Embrace My Shadow  [VertiComix]（1）,[author]Nianhuarexiao : HongShu : Rose Studio,0.0,1,[publisher]KUAIKAN
2021/04/02,Facelift Game [VertiComix](1),[author]JIN QIU,0.0,2,[publisher]KUAIKAN
2021/04/06,Princess Maid [VertiComix](1),[author]Koowa Group : Ayu : Heibaigeer,0.0,1,[publisher]KUAIKAN
2021/06/04,Indulged in Your Radiance [VertiComix]（1）,[author]yuchi,0.0,1,[publisher]KUAIKAN
2021/06/01,Sweet Bite Marks  [VertiComix]（1）,[author]Ruis : Yikai,0.0,10,[publisher]KUAIKAN
2021/06/01,Sweet Bite Marks  [VertiComix]（2）,[author]Ruis : Yikai,0.0,4,[publisher]KUAIKAN
2021/06/01,Sweet Bite Marks  [VertiComix]（3）,[author]Ruis : Yikai,0.3,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（1）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.0,24,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（2）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.0,13,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（3）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.06,2,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（3）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.3,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（3）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.6,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（4）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.06,2,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（4）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.3,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（4）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.6,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（5）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.06,2,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（5）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.3,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（5）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.6,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（6）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.3,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（7）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.3,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（8）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.3,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（9）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.3,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（10）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.3,1,[publisher]KUAIKAN
2021/06/04,The Silent Concubine [VertiComix]（11）,[author]QiangTang : The Shubl Website : Kuaikan Comics : Baili Junxi,0.3,1,[publisher]KUAIKAN
2021/05/04,Whose baby is it [VertiComix](1),[author]WenRenNiaoShiDuo : WuXianZuoYe : Yayoshi : YSSS Studio,0.0,13,[publisher]KUAIKAN
2021/05/04,Whose baby is it [VertiComix](2),[author]WenRenNiaoShiDuo : WuXianZuoYe : Yayoshi : YSSS Studio,0.0,2,[publisher]KUAIKAN
2021/05/07,She Is Also Cute Today [VertiComix](1),[author]Guo Site,0.0,9,[publisher]KUAIKAN
2021/05/07,She Is Also Cute Today [VertiComix](2),[author]Guo Site,0.0,6,[publisher]KUAIKAN
2021/05/07,She Is Also Cute Today [VertiComix](3),[author]Guo Site,0.3,1,[publisher]KUAIKAN
2021/05/07,She Is Also Cute Today [VertiComix](4),[author]Guo Site,0.3,1,[publisher]KUAIKAN
2021/05/07,She Is Also Cute Today [VertiComix](5),[author]Guo Site,0.3,1,[publisher]KUAIKAN
2021/05/07,She Is Also Cute Today [VertiComix](6),[author]Guo Site,0.3,1,[publisher]KUAIKAN
2021/05/07,She Is Also Cute Today [VertiComix](7),[author]Guo Site,0.3,1,[publisher]KUAIKAN
2021/05/07,She Is Also Cute Today [VertiComix](8),[author]Guo Site,0.3,1,[publisher]KUAIKAN
