掲載日,書名,著者名,価格,当月合計冊数,出版社名
2019/12/20,【タテコミ】その魔女を放せ（1）【フルカラー】,[著]二目,60,0,[発行]閲文漫画
2019/12/20,【タテコミ】その魔女を放せ（2）【フルカラー】,[著]二目,60,0,[発行]閲文漫画
2019/12/20,【タテコミ】その魔女を放せ（3）【フルカラー】,[著]二目,60,0,[発行]閲文漫画
2019/12/20,【タテコミ】その魔女を放せ（4）【フルカラー】,[著]二目,30,19,[発行]閲文漫画
2019/12/20,【タテコミ】その魔女を放せ（4）【フルカラー】,[著]二目,60,6,[発行]閲文漫画
2019/12/20,【タテコミ】その魔女を放せ（5）【フルカラー】,[著]二目,30,15,[発行]閲文漫画
2019/12/20,【タテコミ】その魔女を放せ（5）【フルカラー】,[著]二目,60,6,[発行]閲文漫画
2019/12/27,【タテコミ】その魔女を放せ（6）【フルカラー】,[著]二目,30,13,[発行]閲文漫画
2019/12/27,【タテコミ】その魔女を放せ（6）【フルカラー】,[著]二目,60,5,[発行]閲文漫画
2019/12/27,【タテコミ】その魔女を放せ（7）【フルカラー】,[著]二目,30,13,[発行]閲文漫画
2019/12/27,【タテコミ】その魔女を放せ（7）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/01/03,【タテコミ】その魔女を放せ（8）【フルカラー】,[著]二目,30,11,[発行]閲文漫画
2020/01/03,【タテコミ】その魔女を放せ（8）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/01/03,【タテコミ】その魔女を放せ（9）【フルカラー】,[著]二目,30,11,[発行]閲文漫画
2020/01/03,【タテコミ】その魔女を放せ（9）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/01/10,【タテコミ】その魔女を放せ（10）【フルカラー】,[著]二目,30,11,[発行]閲文漫画
2020/01/10,【タテコミ】その魔女を放せ（10）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/01/10,【タテコミ】その魔女を放せ（11）【フルカラー】,[著]二目,30,11,[発行]閲文漫画
2020/01/10,【タテコミ】その魔女を放せ（11）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/01/17,【タテコミ】その魔女を放せ（12）【フルカラー】,[著]二目,30,11,[発行]閲文漫画
2020/01/17,【タテコミ】その魔女を放せ（12）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/01/17,【タテコミ】その魔女を放せ（13）【フルカラー】,[著]二目,30,10,[発行]閲文漫画
2020/01/17,【タテコミ】その魔女を放せ（13）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/01/24,【タテコミ】その魔女を放せ（14）【フルカラー】,[著]二目,30,10,[発行]閲文漫画
2020/01/24,【タテコミ】その魔女を放せ（14）【フルカラー】,[著]二目,60,5,[発行]閲文漫画
2020/01/24,【タテコミ】その魔女を放せ（15）【フルカラー】,[著]二目,30,10,[発行]閲文漫画
2020/01/24,【タテコミ】その魔女を放せ（15）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/01/31,【タテコミ】その魔女を放せ（16）【フルカラー】,[著]二目,30,9,[発行]閲文漫画
2020/01/31,【タテコミ】その魔女を放せ（16）【フルカラー】,[著]二目,60,5,[発行]閲文漫画
2020/01/31,【タテコミ】その魔女を放せ（17）【フルカラー】,[著]二目,30,9,[発行]閲文漫画
2020/01/31,【タテコミ】その魔女を放せ（17）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/02/07,【タテコミ】その魔女を放せ（18）【フルカラー】,[著]二目,30,10,[発行]閲文漫画
2020/02/07,【タテコミ】その魔女を放せ（18）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
2020/02/07,【タテコミ】その魔女を放せ（19）【フルカラー】,[著]二目,30,9,[発行]閲文漫画
2020/02/07,【タテコミ】その魔女を放せ（19）【フルカラー】,[著]二目,60,4,[発行]閲文漫画
